Rank,Title,URL,Score
1,Show HN: Boing,https://boing.greg.technology/,86 points
2,Bazzite: The next generation of Linux gaming,https://bazzite.gg/,311 points
3,Zigbook Is Plagiarizing the Zigtools Playground,https://zigtools.org/blog/zigbook-plagiarizing-playground/,41 points
4,All it takes is for one to work out,https://alearningaday.blog/2025/11/28/all-it-takes-is-for-one-to-work-out-2/,426 points
5,Meshtastic,https://meshtastic.org/,81 points
6,Landlock-Ing Linux,https://blog.prizrak.me/post/landlock/,165 points
7,The HTTP Query Method,https://www.ietf.org/archive/id/draft-ietf-httpbis-safe-method-w-body-14.html,107 points
8,Learning Feynman's Trick for Integrals,https://zackyzz.github.io/feynman.html,157 points
9,Blender facial animation tool. What else should it do?,https://github.com/shun126/livelinkface_arkit_receiver/wiki,61 points
10,Americans no longer see four-year college degrees as worth the cost,https://www.nbcnews.com/politics/politics-news/poll-dramatic-shift-americans-no-longer-see-four-year-college-degrees-rcna243672,160 points
11,A new Little Prince museum has opened its doors in Switzerland,https://www.lepetitprince.com/en/events-around-the-world/a-new-little-prince-museum-has-opened-its-doors-in-switzerland/,36 points
12,Scala,https://www.huygens-fokker.org/scala/,45 points
13,Datacenters in space aren't going to work,https://taranis.ie/datacenters-in-space-are-a-terrible-horrible-no-good-idea/,209 points
14,Show HN: Nano PDF – A CLI Tool to Edit PDFs with Gemini's Nano Banana,https://github.com/gavrielc/Nano-PDF,117 points
15,Be Like Clippy,https://be-clippy.com/,256 points
16,Rare X-ray images of a 4.5-ton satellite that returned intact from space,https://www.empa.ch/web/s604/eureca-satellit-mit-roentgenmethoden-untersucht,76 points
17,An update on the Farphone's battery,https://far.computer/battery-update/,75 points
18,Matrix Core Programming on AMD CDNA Architecture,https://rocm.blogs.amd.com/software-tools-optimization/matrix-cores-cdna/README.html,11 points
19,Leak confirms OpenAI is preparing ads on ChatGPT for public roll out,https://www.bleepingcomputer.com/news/artificial-intelligence/leak-confirms-openai-is-preparing-ads-on-chatgpt-for-public-roll-out/,586 points
20,Testing shows automotive glassbreakers can't break modern automotive glass,https://www.core77.com/posts/138925/Testing-Shows-Automotive-Glassbreakers-Cant-Break-Modern-Automotive-Glass,102 points
21,The Origins of Scala (2009),https://www.artima.com/articles/the-origins-of-scala,64 points
22,Stopping bad guys from using my open source project (feedback wanted),https://evanhahn.com/stopping-bad-guys-from-using-my-open-source-project/,56 points
23,A new myth appeared during the presidential campaign of Andrew Jackson,https://www.historynewsnetwork.org/article/self-made,30 points
24,Zero knowlege proof of compositeness,https://www.johndcook.com/blog/2025/11/29/zkp-composite/,101 points
25,One of the Greatest Polar-Bear Hunters Confronts a Vanishing World,https://www.newyorker.com/magazine/2025/12/01/one-of-the-greatest-polar-bear-hunters-confronts-a-vanishing-world,4 points
26,Show HN: Network Monitor – a GUI to spot anomalous connections on your Linux,item?id=46032074,107 points
27,Hardening the C++ Standard Library at scale,https://queue.acm.org/detail.cfm?id=3773097,134 points
28,Anthony Bourdain's Lost Li.st's,https://bourdain.greg.technology/,250 points
29,The CRDT Dictionary: A Field Guide to Conflict-Free Replicated Data Types,https://www.iankduncan.com/engineering/2025-11-27-crdt-dictionary/,179 points
30,Student perceptions of AI coding assistants in learning,https://arxiv.org/abs/2507.22900,71 points
